fips_code,duration_h_mean,duration_h_max,duration_h_sum,max_outage_rate_mean,max_outage_rate_max,mean_outage_rate_mean,PSVI_score,PSVI_rating
5129,18.62745098,116.5,950,0.01324046,0.175679423,0.010042288,0.028965302,Major
5131,3.99702381,35.5,335.75,0.007881774,0.087083544,0.005198572,0.01104669,Minor
5133,9.164179104,104.75,1842,0.019098992,0.273014669,0.011363753,0.048542909,Severe
5135,10.26290323,71.5,1590.75,0.010976613,0.238927658,0.006309775,0.039612713,Severe
5137,14.81060606,80.25,1466.25,0.008620465,0.07947964,0.00686839,0.035065991,Major
5139,5.447470817,47.25,1400,0.008385776,0.172277906,0.005314785,0.033449441,Major
5143,2.710416667,19.5,325.25,0.00826588,0.134250492,0.005975207,0.011271016,Minor
5145,4.685714286,35,820,0.007209002,0.20791272,0.005663464,0.022090439,Moderate
5147,21.25826446,159,2572.25,0.026962369,0.370554765,0.01902805,0.069211422,Extreme
5149,9.474085366,73.25,1553.75,0.021034254,0.589468259,0.012190729,0.046958037,Severe
6001,1.961661342,31,614,0.003955514,0.037872763,0.003189674,0.014377473,Minor
6003,285.8026316,1283.75,5430.25,0.1723403,0.769403825,0.061378377,0.208236049,Extreme
6005,7.802777778,47.5,1404.5,0.020895575,0.58393567,0.012790109,0.043363514,Severe
6007,6.462550607,219.75,1596.25,0.010172648,0.482413564,0.005706611,0.046203522,Severe
6009,8.112348178,71,2003.75,0.023104202,0.404150198,0.011995271,0.053556023,Severe
6011,16.74448529,127.5,2277.25,0.017705663,0.226325853,0.010858635,0.056878315,Extreme
6013,2.479106628,53.75,860.25,0.005115163,0.084930542,0.003548644,0.020720807,Moderate
6015,8.878640777,72.25,914.5,0.034872042,0.734192832,0.019840137,0.040902572,Severe
6017,6.277317881,92.75,1895.75,0.011385228,0.178985271,0.006978579,0.045367513,Severe
6019,2.092207792,37,805.5,0.003496563,0.03775586,0.002772915,0.018084523,Minor
6021,11.68529412,74,1986.5,0.016865029,0.335520381,0.010062044,0.050789092,Severe
6023,6.811253561,119.5,2390.75,0.009321336,0.148444791,0.005782514,0.054621503,Severe
6025,126.0277778,421.25,1134.25,0.008285259,0.02692454,0.006772367,0.040585846,Severe
6027,56.5,301,3955,0.031052735,0.421349862,0.024223485,0.103758118,Extreme
6029,2.874598071,64.75,894,0.003894071,0.048955713,0.002898739,0.020791694,Moderate
6031,5.141891892,45,761,0.006410083,0.077889926,0.004191457,0.018985051,Moderate
6033,6.721568627,159.25,1714,0.014860598,0.242438026,0.00837491,0.045361436,Severe
