SCHOOL_YEAR,SCH_NAME,LEA_NAME,STATE,ST,MCITY,MSTATE,NCESSCH,SCHID,LAT,LON,LOCALE
2023-2024,FREEMAN H S,KATY ISD,TEXAS,TX,KATY,TX,482517014023,4814023,29.887217,-95.822497,41
2023-2024,KAUFMAN H S,KAUFMAN ISD,TEXAS,TX,KAUFMAN,TX,482520002816,4802816,32.566619,-96.314806,32
2023-2024,GARY W CAMPBELL H S,KAUFMAN ISD,TEXAS,TX,KAUFMAN,TX,482520009321,4809321,32.565612,-96.315413,32
2023-2024,KEENE H S,KEENE ISD,TEXAS,TX,KEENE,TX,482523006726,4806726,32.391655,-97.318027,31
2023-2024,KELLER H S,KELLER ISD,TEXAS,TX,KELLER,TX,482526002822,4802822,32.940146,-97.234082,21
2023-2024,KELLER COMPASS CENTER,KELLER ISD,TEXAS,TX,KELLER,TX,482526007071,4807071,32.936793,-97.248976,21
2023-2024,FOSSIL RIDGE H S,KELLER ISD,TEXAS,TX,KELLER,TX,482526007119,4807119,32.893551,-97.295325,11
2023-2024,CENTRAL H S,KELLER ISD,TEXAS,TX,KELLER,TX,482526009380,4809380,32.910536,-97.270062,11
2023-2024,TIMBER CREEK H S,KELLER ISD,TEXAS,TX,FORT WORTH,TX,482526011897,4811897,32.9497,-97.2875,11
2023-2024,KEMP H S,KEMP ISD,TEXAS,TX,KEMP,TX,482532002826,4802826,32.427348,-96.228806,42
2023-2024,KEMP ALTERNATIVE,KEMP ISD,TEXAS,TX,KEMP,TX,482532010871,4810871,32.436194,-96.230099,42
2023-2024,KENEDY H S,KENEDY ISD,TEXAS,TX,KENEDY,TX,482544002832,4802832,28.8291,-97.8553,43
2023-2024,KENNEDALE H S,KENNEDALE ISD,TEXAS,TX,KENNEDALE,TX,482550002839,4802839,32.652528,-97.19877,21
2023-2024,KERMIT H S,KERMIT ISD,TEXAS,TX,KERMIT,TX,482556002845,4802845,31.856044,-103.082649,32
2023-2024,TIVY H S,KERRVILLE ISD,TEXAS,TX,KERRVILLE,TX,482559002853,4802853,30.037547,-99.109162,41
2023-2024,HILL COUNTRY H S,KERRVILLE ISD,TEXAS,TX,KERRVILLE,TX,482559004892,4804892,30.055639,-99.131854,33
2023-2024,KILGORE H S,KILGORE ISD,TEXAS,TX,KILGORE,TX,482562002858,4802858,32.393353,-94.873228,31
2023-2024,C E ELLISON H S,KILLEEN ISD,TEXAS,TX,KILLEEN,TX,482566002866,4802866,31.083928,-97.739132,12
2023-2024,KILLEEN H S,KILLEEN ISD,TEXAS,TX,KILLEEN,TX,482566002871,4802871,31.112203,-97.697753,12
2023-2024,GATEWAY H S,KILLEEN ISD,TEXAS,TX,KILLEEN,TX,482566006281,4806281,31.096315,-97.698495,12
2023-2024,HARKER HEIGHTS H S,KILLEEN ISD,TEXAS,TX,HARKER HEIGHTS,TX,482566008695,4808695,31.056837,-97.651118,21
2023-2024,ROBERT M SHOEMAKER H S,KILLEEN ISD,TEXAS,TX,KILLEEN,TX,482566008696,4808696,31.102705,-97.796817,12
2023-2024,KILLEEN ISD EARLY COLLEGE H S,KILLEEN ISD,TEXAS,TX,FORT CAVAZOS,TX,482566013234,4813234,31.132978,-97.807345,21
2023-2024,CHAPARRAL H S,KILLEEN ISD,TEXAS,TX,KILLEEN,TX,482566013777,4813777,31.034248,-97.714175,12
2023-2024,PATHWAYS ACADEMIC CAMPUS,KILLEEN ISD,TEXAS,TX,KILLEEN,TX,482566021001,4821001,31.05349,-97.751573,12
2023-2024,H M KING H S,KINGSVILLE ISD,TEXAS,TX,KINGSVILLE,TX,482568002887,4802887,27.495516,-97.855151,32
2023-2024,KIRBYVILLE H S,KIRBYVILLE CISD,TEXAS,TX,KIRBYVILLE,TX,482571002894,4802894,30.650128,-93.895201,43
2023-2024,KLEIN H S,KLEIN ISD,TEXAS,TX,KLEIN,TX,482574002903,4802903,30.019514,-95.524557,21
2023-2024,KLEIN FOREST H S,KLEIN ISD,TEXAS,TX,KLEIN,TX,482574005522,4805522,29.965824,-95.499545,21
2023-2024,KLEIN OAK H S,KLEIN ISD,TEXAS,TX,KLEIN,TX,482574005759,4805759,30.096835,-95.518429,21
2023-2024,KLEIN COLLINS H S,KLEIN ISD,TEXAS,TX,KLEIN,TX,482574008631,4808631,30.061406,-95.478787,21
2023-2024,VISTAS H S,KLEIN ISD,TEXAS,TX,KLEIN,TX,482574011462,4811462,29.961192,-95.49707,21
2023-2024,KLEIN CAIN H S,KLEIN ISD,TEXAS,TX,KLEIN,TX,482574013407,4813407,30.016257,-95.57419,21
2023-2024,KOUNTZE H S,KOUNTZE ISD,TEXAS,TX,KOUNTZE,TX,482592002919,4802919,30.3751,-94.3336,42
2023-2024,KRUM H S,KRUM ISD,TEXAS,TX,KRUM,TX,482598002925,4802925,33.264058,-97.226873,31
2023-2024,LA FERIA ACADEMY,LA FERIA ISD,TEXAS,TX,LA FERIA,TX,482604006941,4806941,26.161903,-97.827107,22
2023-2024,LA GRANGE H S,LA GRANGE ISD,TEXAS,TX,LA GRANGE,TX,482610002933,4802933,29.901872,-96.865098,33
2023-2024,LA JOYA H S,LA JOYA ISD,TEXAS,TX,LA JOYA,TX,482613002936,4802936,26.253826,-98.47285,21
2023-2024,JUAREZ-LINCOLN H S,LA JOYA ISD,TEXAS,TX,MISSION,TX,482613007045,4807045,26.32693,-98.398598,21
2023-2024,LA JOYA PALMVIEW H S,LA JOYA ISD,TEXAS,TX,MISSION,TX,482613009305,4809305,26.258759,-98.359571,21
2023-2024,JIMMY CARTER EARLY COLLEGE H S,LA JOYA ISD,TEXAS,TX,LA JOYA,TX,482613010825,4810825,26.251346,-98.476688,21
2023-2024,THELMA ROSA SALINAS STEM EARLY COLLEGE H S,LA JOYA ISD,TEXAS,TX,LA JOYA,TX,482613012880,4812880,26.25488,-98.475768,21
2023-2024,THE ACADEMY OF VIOLA DEWALT H S,LA PORTE ISD,TEXAS,TX,LA PORTE,TX,482619001443,4801443,29.670033,-95.022115,21
2023-2024,LA PORTE H S,LA PORTE ISD,TEXAS,TX,LA PORTE,TX,482619021038,4821038,29.654383,-95.014646,21
2023-2024,LAPOYNOR H S,LAPOYNOR ISD,TEXAS,TX,LARUE,TX,482622002959,4802959,32.097177,-95.638587,42
2023-2024,LA VEGA H S,LA VEGA ISD,TEXAS,TX,WACO,TX,482628002965,4802965,31.601614,-97.09852,22
